F1,F2,F3,F4,F5,F6,CODE1,CODE2,prove,provf,taxyr,f7
39060,132218,25610,101520,307350,767057,B,14,,,2004,6
75500,433365,55770,371372,530390,2356252,B,15,,,2004,6
43570,349209,27220,229485,427030,2509059,B,16,,,2004,6
26610,591360,18050,465917,243610,4235578,B,17,,,2004,6
13760,516171,11240,548314,83610,2530225,B,18,,,2004,6
3630,167350,2810,169320,26690,939545,B,19,,,2004,6
7670,45437,5270,31602,66700,321222,B,20,,,2004,6
510,19159,310,18941,4880,162463,B,21,,,2004,6
9030,81849,4700,40799,107450,796700,B,22,,,2004,6
89270,500781,62700,451708,704150,3249742,B,23,,,2004,6
427380,36138685,277270,26230653,3889650,261030351,B,24,,,2004,6
187400,765070,109540,475235,1711150,5628365,C,25,,,2004,6
282350,1984279,192570,1622621,2260380,12325913,C,26,,,2004,6
185760,162918,104480,90292,1764270,1436767,C,27,,,2004,6
19180,77516,11500,50183,212120,804147,C,28,,,2004,6
102800,135503,77690,127171,773970,867662,C,29,,,2004,6
18760,28553,14790,22970,150890,215076,C,30,,,2004,6
39340,210494,30810,185575,311680,1496481,C,31,,,2004,6
790,10407,320,5258,9520,143345,C,32,,,2004,6
29820,206901,19530,153419,218600,1185884,C,33,,,2004,6
398690,3581599,258920,2732613,3497140,24103658,C,34,,,2004,6
41110,108915,24470,92095,294410,447105,C,35,,,2004,6
427220,32453533,277150,23409114,3888280,236670809,C,36,,,2004,6
2690,76064,2240,73555,17950,412196,C,37,,,2004,6
22600,75730,17720,69652,155580,460213,C,38,,,2004,6
27090,172381,16890,98097,224820,1321525,C,39,,,2004,6
50540,324807,35380,241303,385920,2199574,C,40,,,2004,6
427000,32133363,277050,23183255,3886900,234497940,C,41,,,2004,6
427080,3420671,277010,2218309,3888010,31136228,D,42,,,2004,6
800,1572,540,1125,116170,77579,D,43,,,2004,6
76850,432609,50220,280867,614660,3424946,D,44,,,2004,6
384440,690919,249840,448557,3393400,6050708,D,45,,,2004,6
346130,262503,219370,165796,3135120,2353557,D,46,,,2004,6
50420,50058,33060,32802,551160,548250,D,47,,,2004,6
4160,17033,2800,10700,34990,140239,D,48,,,2004,6
7170,56329,4020,31703,61830,469014,D,49,,,2004,6
62650,253120,41600,174064,508190,1845352,D,50,,,2004,6
9310,6113,4900,3261,133020,89820,D,51,,,2004,6
8430,26969,6010,19727,88860,279557,D,52,,,2004,6
29740,110565,20270,75733,332630,1024023,D,53,,,2004,6
427140,852326,277090,553874,3888330,7588249,D,54,,,2004,6
246830,338440,170470,253161,1951100,2197788,D,55,,,2004,6
340,4217,260,1629,2650,23663,E,56,,,2004,6
245620,94301,169860,70290,1938130,606357,E,57,,,2004,6
427140,946627,277100,624164,3888360,8194606,E,58,,,2004,6
426320,5236284,276800,3965294,3876200,34930781,E,59,,,2004,6
117300,105214,86110,88449,861550,630922,F,60,,,2004,6
425360,5208540,276160,3937871,3870850,34788046,F,61,,,2004,6
425140,5196418,276120,3929518,3868560,34696368,F,62,,,2004,6
346730,2062762,227350,1626553,3077030,13293840,F,63,,,2004,6
426600,7412556,276940,5684351,3877910,48781966,F,64,,,2004,6
519730,0,202690,0,124140,0,A,1,,,2004,7
850,0,740,0,240,0,A,2,,,2004,7
520570,0,203430,0,124380,0,A,3,,,2004,7
440020,43686886,153610,21124672,90560,36910211,B,4,,,2004,7
30680,1593520,15340,1423905,8520,2535784,B,5,,,2004,7
112440,887258,45640,635235,29890,2304615,B,6,,,2004,7
46400,243795,23080,118202,15650,80717,B,7,,,2004,7
65410,460215,31710,223542,20470,153501,B,8,,,2004,7
62400,2331700,24560,1111784,11930,858387,B,9,,,2004,7
9590,38337,1490,7459,460,3077,B,10,,,2004,7
208920,2432178,103890,2334641,79830,7325058,B,11,,,2004,7
256570,1173245,123450,950831,96170,2314915,B,12,,,2004,7
29500,741325,14870,566132,9700,569875,B,13,,,2004,7
54910,303598,25640,303465,19870,760481,B,14,,,2004,7
131550,1328466,69160,1658210,59150,5614565,B,15,,,2004,7
45650,600433,14060,329233,5250,340829,B,16,,,2004,7
39140,1234068,16380,903929,10840,1206020,B,17,,,2004,7
34850,2450037,31740,4471276,27630,9038073,B,18,,,2004,7
5940,411136,2820,296042,1290,247164,B,19,,,2004,7
10700,121756,5400,158178,3650,104002,B,20,,,2004,7
560,38726,160,8325,80,20582,B,21,,,2004,7
6410,103364,1610,39462,620,19254,B,22,,,2004,7
145380,1511357,77440,1516276,61850,2393252,B,23,,,2004,7
520570,61692005,203430,38182860,124380,72802646,B,24,,,2004,7
171480,819979,41690,253917,14650,117992,C,25,,,2004,7
363930,3859567,144140,2100151,89340,1497871,C,26,,,2004,7
155730,130336,36800,31007,14530,12073,C,27,,,2004,7
18620,92115,6190,34105,2850,16031,C,28,,,2004,7
171030,376093,85770,332279,68970,856929,C,29,,,2004,7
37990,60410,31360,52941,24240,41632,C,30,,,2004,7
63230,482090,27340,303084,14290,272657,C,31,,,2004,7
390,7363,60,1190,30,501,C,32,,,2004,7
46980,506688,27570,495096,27540,1333646,C,33,,,2004,7
485750,6334681,189240,3603789,115220,4149307,C,34,,,2004,7
49990,235619,23000,115260,15560,79520,C,35,,,2004,7
520460,55134542,203250,34475487,124330,68597827,C,36,,,2004,7
6830,339032,6630,665779,6260,962694,C,37,,,2004,7
43540,170900,23950,167909,22010,352181,C,38,,,2004,7
37730,332450,17220,341209,14750,2375768,C,39,,,2004,7
83460,842989,44450,1176960,38420,3692927,C,40,,,2004,7
520100,54297463,202870,33307263,124230,64907884,C,41,,,2004,7
519630,4158604,202590,1620552,123650,987900,D,42,,,2004,7
1010,2445,460,1214,170,396,D,43,,,2004,7
96400,544013,35940,206068,20840,119877,D,44,,,2004,7
458330,823384,171390,307385,102400,183885,D,45,,,2004,7
379910,287250,115030,85746,55480,40846,D,46,,,2004,7
70840,70412,30650,30353,16940,16704,D,47,,,2004,7
5310,22138,1720,7094,820,3191,D,48,,,2004,7
8600,65858,3610,27374,2210,16392,D,49,,,2004,7
79530,348144,30410,145889,19010,95648,D,50,,,2004,7
7630,4923,1880,1359,690,496,D,51,,,2004,7
11050,34025,3880,10916,2080,5666,D,52,,,2004,7
43840,189620,21500,134032,15080,121370,D,53,,,2004,7
519880,1047838,203010,412352,123960,254699,D,54,,,2004,7
340480,676699,145240,508660,96150,1530213,D,55,,,2004,7
490,9257,300,7427,270,32944,E,56,,,2004,7
339580,191380,144870,146262,96030,450935,E,57,,,2004,7
519900,1239219,203050,558614,123990,705634,E,58,,,2004,7
519030,10069703,202330,7146924,124030,16149413,E,59,,,2004,7
198780,324171,100240,311226,78070,976628,F,60,,,2004,7
516940,9967697,201650,7071363,123690,15903365,F,61,,,2004,7
516880,9950238,201570,7059556,123660,15875820,F,62,,,2004,7
428000,4316559,165200,3123538,103790,7242611,F,63,,,2004,7
519730,14592052,202690,10370170,124140,23257921,F,64,,,2004,7
4724470,0,16172670,0,0,0,A,1,,,2004,8
13560,0,7355010,0,0,0,A,2,,,2004,8
4738020,0,23527680,0,0,0,A,3,,,2004,8
4046230,306227625,15070090,531435678,0,0,B,4,,,2004,8
165440,8510220,441140,10076370,0,0,B,5,,,2004,8
792350,6084079,2136360,10583238,0,0,B,6,,,2004,8
449780,2381072,3974410,20533062,0,0,B,7,,,2004,8
651800,4546686,5033400,29308812,0,0,B,8,,,2004,8
600080,19445561,2696250,44450031,0,0,B,9,,,2004,8
230780,1044197,2378460,12596107,0,0,B,10,,,2004,8
1321260,16827845,3226420,20579182,0,0,B,11,,,2004,8
1925860,8049100,6742200,15970909,0,0,B,12,,,2004,8
